recheck_id	record_grain	candidate_key	candidate_name	previous_surface	previous_decision	previous_reason_or_notes	alternate_route_decision	alternate_plot_universe_id	route_to_worklist_id	evidence_row_count	counted_evidence_row_count	evidence_status	confidence	why_it_lands_or_not	next_action	supporting_local_paths
title_bear_combined_database_route_to_coverage_denominator_catalog	review_receipt	title:bear_combined_database	title:bear_combined_database	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	BEAR is useful as a comparator/search index, but the tracker says most rows are registry, review, replication, scrape, or meta-analysis objects rather than direct Figure 1 original/replication pair rows.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator		0	0	source_context_may_help_denominator_or_discovery	low	This can help denominator/search coverage but does not expose a quantitative subplot row.	Catalog under coverage/context; do not parse as Figure 1A.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_bear_combined_database.json
title_bringing_an_intersectional_lens_to_open_science_an_analysis_of_representation_in_the_reproducibility_project_remai	review_receipt	title:bringing_an_intersectional_lens_to_open_science_an_analysis_of_representation_in_the_reproducibility_project	title:bringing_an_intersectional_lens_to_open_science_an_analysis_of_representation_in_the_reproducibility_project	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This article analyzes representation and context in the Reproducibility Project: Psychology reports. It is a secondary critique/context source, not a result-bearing original/replication pair table.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_bringing_an_intersectional_lens_to_open_science_an_analysis_of_representation_in_the_reproducibility_project.json
title_can_cancer_researchers_accurately_judge_whether_preclinical_reports_will_reproduce_remain_context_or_rejected_no_a	review_receipt	title:can_cancer_researchers_accurately_judge_whether_preclinical_reports_will_reproduce	title:can_cancer_researchers_accurately_judge_whether_preclinical_reports_will_reproduce	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a forecasting/judgment study about whether experts predicted RP:CB replication outcomes. It is useful RPCB context, but the authoritative effect rows should come from RPCB final-analysis data, not this forecast article.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_can_cancer_researchers_accurately_judge_whether_preclinical_reports_will_reproduce.json
title_cancer_reproducibility_project_scales_back_ambitions_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:cancer_reproducibility_project_scales_back_ambitions	title:cancer_reproducibility_project_scales_back_ambitions	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This Nature item is news/context about the Cancer Biology reproducibility project, not a reusable data source or pair table.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_cancer_reproducibility_project_scales_back_ambitions.json
title_challenges_and_suggestions_for_defining_replication_success_when_effects_may_be_heterogeneous_comment_on_hedges_an	review_receipt	title:challenges_and_suggestions_for_defining_replication_success_when_effects_may_be_heterogeneous_comment_on_hedges_and_scha	title:challenges_and_suggestions_for_defining_replication_success_when_effects_may_be_heterogeneous_comment_on_hedges_and_scha	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a methodological comment on defining replication success and heterogeneity. It can inform methods but is not an original/replication source-family artifact.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_challenges_and_suggestions_for_defining_replication_success_when_effects_may_be_heterogeneous_comment_on_hedges_and_scha.json
title_confounds_in_failed_replications_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:confounds_in_failed_replications	title:confounds_in_failed_replications	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a commentary/reanalysis of selected failed replications from the Reproducibility Project: Psychology, not a primary source-family table. RPP should remain the authoritative source object.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_confounds_in_failed_replications.json
title_construct_validity_and_the_validity_of_replication_studies_a_systematic_review_remain_context_or_rejected_no_alter	review_receipt	title:construct_validity_and_the_validity_of_replication_studies_a_systematic_review	title:construct_validity_and_the_validity_of_replication_studies_a_systematic_review	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a systematic review of construct-validity issues in the RPP original and replication studies. It is useful context but not a primary D/N pair source.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_construct_validity_and_the_validity_of_replication_studies_a_systematic_review.json
title_corpus_suggestion_tracker_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:corpus_suggestion_tracker	title:corpus_suggestion_tracker	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is an internal derived tracker/report, not an external source-family, database, repository, or result table. It can remain provenance context only.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_corpus_suggestion_tracker.json
title_die_vertrauensw_rdigkeit_von_replikationen_der_einfluss_von_pr_registrierungen_auf_den_replikationserfolg_route_to	review_receipt	title:die_vertrauensw_rdigkeit_von_replikationen_der_einfluss_von_pr_registrierungen_auf_den_replikationserfolg	title:die_vertrauensw_rdigkeit_von_replikationen_der_einfluss_von_pr_registrierungen_auf_den_replikationserfolg	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This dissertation analyzes preregistration and replication success using the FORRT Replication Database. It is a secondary analysis of an external database, so FORRT/FReD should be the primary source object.	route_to_native_effect_diagnostic_worklist	plot1c_native_effect_retention		0	0	native_metric_possible_but_no_local_rows_confirmed	low	The text points to native response metrics, but no row-level values are confirmed here.	Use native route only if row-level original/follow-up values are obtained.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_die_vertrauensw_rdigkeit_von_replikationen_der_einfluss_von_pr_registrierungen_auf_den_replikationserfolg.json
title_direct_replications_in_the_era_of_open_sampling_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:direct_replications_in_the_era_of_open_sampling	title:direct_replications_in_the_era_of_open_sampling	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	OSF metadata describes a discussion/methods project about directness in open sampling, not a row-level replication-pair corpus.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_direct_replications_in_the_era_of_open_sampling.json
title_does_expertise_matter_in_replication_an_examination_of_the_reproducibility_project_psychology_remain_context_or_re	review_receipt	title:does_expertise_matter_in_replication_an_examination_of_the_reproducibility_project_psychology	title:does_expertise_matter_in_replication_an_examination_of_the_reproducibility_project_psychology	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a secondary analysis of expertise in the Reproducibility Project: Psychology. It is not the authoritative pair/result source; RPP remains the source-family object.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_does_expertise_matter_in_replication_an_examination_of_the_reproducibility_project_psychology.json
title_evaluating_meta_analysis_as_a_replication_success_measure_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:evaluating_meta_analysis_as_a_replication_success_measure	title:evaluating_meta_analysis_as_a_replication_success_measure	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a methods evaluation using original and replication studies from two existing large-scale replication projects. It is not the primary pair source; those projects should remain the authoritative artifacts.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_evaluating_meta_analysis_as_a_replication_success_measure.json
title_fairsharing_record_for_framework_for_open_and_reproducible_research_training_replication_database_route_to_native_	review_receipt	title:fairsharing_record_for_framework_for_open_and_reproducible_research_training_replication_database	title:fairsharing_record_for_framework_for_open_and_reproducible_research_training_replication_database	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This FAIRsharing page is metadata about FORRT/FReD, not the data source itself. The OSF/FReD records should be used as the primary source-family routes.	route_to_native_effect_diagnostic_worklist	plot1c_native_effect_retention		0	0	native_metric_possible_but_no_local_rows_confirmed	low	The text points to native response metrics, but no row-level values are confirmed here.	Use native route only if row-level original/follow-up values are obtained.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_fairsharing_record_for_framework_for_open_and_reproducible_research_training_replication_database.json
title_fork_of_reproducibility_project_psychology_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:fork_of_reproducibility_project_psychology	title:fork_of_reproducibility_project_psychology	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a fork/alias of Reproducibility Project: Psychology. The canonical RPP OSF/GitHub source family is already represented, so this fork should not create a duplicate root row.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_fork_of_reproducibility_project_psychology.json
title_forrt_replication_database_fred_route_to_native_effect_diagnostic_worklist	review_receipt	title:forrt_replication_database_fred	title:forrt_replication_database_fred	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is an internal manual tracker row documenting that FReD parsing already yielded local original-claim rows. It should remain provenance/context and should not be ingested as an external root source by itself.	route_to_native_effect_diagnostic_worklist	plot1c_native_effect_retention		0	0	native_metric_possible_but_no_local_rows_confirmed	low	The text points to native response metrics, but no row-level values are confirmed here.	Use native route only if row-level original/follow-up values are obtained.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_forrt_replication_database_fred.json
title_growth_from_uncertainty_understanding_the_replication_crisis_in_infant_cognition_remain_context_or_rejected_no_alt	review_receipt	title:growth_from_uncertainty_understanding_the_replication_crisis_in_infant_cognition	title:growth_from_uncertainty_understanding_the_replication_crisis_in_infant_cognition	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a philosophy/history-of-science discussion of infant-cognition replication work, not a result-bearing source-family artifact.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_growth_from_uncertainty_understanding_the_replication_crisis_in_infant_cognition.json
title_hack_setting_up_a_large_scale_replication_project_of_cognitive_dissonance_theory_beatrix_zone_4_14_45_remain_conte	review_receipt	title:hack_setting_up_a_large_scale_replication_project_of_cognitive_dissonance_theory_beatrix_zone_4_14_45	title:hack_setting_up_a_large_scale_replication_project_of_cognitive_dissonance_theory_beatrix_zone_4_14_45	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	The OSF node appears to be a hack/session page about setting up a replication project. It does not expose evidence of completed result rows in the metadata reviewed here.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_hack_setting_up_a_large_scale_replication_project_of_cognitive_dissonance_theory_beatrix_zone_4_14_45.json
title_heterogeneity_in_direct_replications_in_psychology_and_its_association_with_effect_size_remain_context_or_rejected	review_receipt	title:heterogeneity_in_direct_replications_in_psychology_and_its_association_with_effect_size	title:heterogeneity_in_direct_replications_in_psychology_and_its_association_with_effect_size	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a secondary heterogeneity analysis of 68 meta-analyses from 13 preregistered multilab replication projects. It may help with context or dedupe, but original/replication effect extraction should prefer the underlying projects.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_heterogeneity_in_direct_replications_in_psychology_and_its_association_with_effect_size.json
title_lancee_et_al_2017_antipsychotic_outcome_reporting_audit_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:lancee_et_al_2017_antipsychotic_outcome_reporting_audit	title:lancee_et_al_2017_antipsychotic_outcome_reporting_audit	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	The tracker identifies this as a registry-vs-publication discrepancy audit, not a D/N source and not a Figure 1 replication-pair corpus.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_lancee_et_al_2017_antipsychotic_outcome_reporting_audit.json
title_leight_asri_imai_aea_publication_tracking_paper_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:leight_asri_imai_aea_publication_tracking_paper	title:leight_asri_imai_aea_publication_tracking_paper	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	Conceptually useful publication-tracking work, but the tracker says row-level output data were not found and this is not a Figure 1 original/replication pair source.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_leight_asri_imai_aea_publication_tracking_paper.json
title_nordic_trial_reporting_dataset_route_to_missing_value_repair_worklist	review_receipt	title:nordic_trial_reporting_dataset	title:nordic_trial_reporting_dataset	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	The tracker says this is an excellent publication-status scaffold but no effect sizes and no assessment of registered primary outcome reporting. It is not a Figure 1 pair corpus.	route_to_missing_value_repair_worklist	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	source_mentions_missing_values_or_N	low	The previous decision already points to missing N/effect values rather than irrelevance.	Keep as repair/context only until row-level values are found.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_nordic_trial_reporting_dataset.json
title_sips_2017_sample_size_and_effect_size_workshop_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:sips_2017_sample_size_and_effect_size_workshop	title:sips_2017_sample_size_and_effect_size_workshop	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	OSF metadata describes workshop materials, slides, examples, and R code. It is not a replication-pair corpus or source table.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_sips_2017_sample_size_and_effect_size_workshop.json
title_forrt_replication_database_frozen_version_from_08_2024_route_to_native_effect_diagnostic_worklist	review_receipt	title:forrt_replication_database_frozen_version_from_08_2024	title:forrt_replication_database_frozen_version_from_08_2024	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	needs_more_evidence	The lead claims to be a frozen FORRT Replication Database version, but the OSF API route returned 404 during this review. It may be a stale/private/deleted file or node and should not be advanced without route confirmation.	route_to_native_effect_diagnostic_worklist	plot1c_native_effect_retention		0	0	native_metric_possible_but_no_local_rows_confirmed	low	The text points to native response metrics, but no row-level values are confirmed here.	Use native route only if row-level original/follow-up values are obtained.	steps/review_cue/figure1_search_leads/receipts/needs_more_evidence/title_forrt_replication_database_frozen_version_from_08_2024.json
title_2klnfx_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:2klnfx	title:2klnfx	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	Dataverse metadata shows a replication package for a single Journal of Politics paper. The word replication here means computational replication materials, not a direct original/replication pair source.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_2klnfx.json
title_additional_file_1_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal_remain_context_	review_receipt	title:additional_file_1_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal	title:additional_file_1_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	The Figshare record is a qualitative supplement containing key illustrative quotes for a Nepal mental-wellbeing care-pathways article. It has no Figure 1 replication-pair evidence.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_additional_file_1_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal.json
title_additional_file_2_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal_remain_context_	review_receipt	title:additional_file_2_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal	title:additional_file_2_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	The Figshare record is a policy/framework supplement for the same Nepal mental-wellbeing care-pathways article. It is not a replication or corpus/database artifact.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_additional_file_2_of_traditional_and_biomedical_care_pathways_for_mental_well_being_in_rural_nepal.json
title_analysis_of_rare_parkinson_s_disease_variants_in_millions_of_people_remain_context_or_rejected_no_alternate_subplo	review_receipt	title:analysis_of_rare_parkinson_s_disease_variants_in_millions_of_people	title:analysis_of_rare_parkinson_s_disease_variants_in_millions_of_people	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	This is a single genetics association/meta-analysis paper using the language of variant replication across cohorts. It does not provide a Figure 1 source-family object linking published original findings to independent replication/follow-up studies under the current gate.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_analysis_of_rare_parkinson_s_disease_variants_in_millions_of_people.json
title_brodeur_economics_through_bear_route_to_missing_value_repair_worklist	review_receipt	title:brodeur_economics_through_bear	title:brodeur_economics_through_bear	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	The tracker already says the BEAR version lacks sample size and that a separate raw Brodeur Dataverse/OpenICPSR file is better. This specific BEAR-mediated lead should not advance.	route_to_missing_value_repair_worklist	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	source_mentions_missing_values_or_N	low	The previous decision already points to missing N/effect values rather than irrelevance.	Keep as repair/context only until row-level values are found.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_brodeur_economics_through_bear.json
title_combining_specific_task_oriented_training_with_manual_therapy_to_improve_balance_and_mobility_in_patients_after_st	review_receipt	title:combining_specific_task_oriented_training_with_manual_therapy_to_improve_balance_and_mobility_in_patients_after_stroke_a	title:combining_specific_task_oriented_training_with_manual_therapy_to_improve_balance_and_mobility_in_patients_after_stroke_a	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	This is a single pilot randomized trial package and does not itself provide a replication corpus, database, or explicit original-to-replication mapping. Do not advance individual studies on speculation that a later trial might exist.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_combining_specific_task_oriented_training_with_manual_therapy_to_improve_balance_and_mobility_in_patients_after_stroke_a.json
title_cross_platform_metabolomics_imputation_using_importance_weighted_autoencoders_remain_context_or_rejected_no_altern	review_receipt	title:cross_platform_metabolomics_imputation_using_importance_weighted_autoencoders	title:cross_platform_metabolomics_imputation_using_importance_weighted_autoencoders	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	This is a metabolomics platform-imputation/validation paper. The term large-scale replication refers to assay or observational-association validation, not an original-study versus replication/follow-up source family for Figure 1.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_cross_platform_metabolomics_imputation_using_importance_weighted_autoencoders.json
title_data_from_evaluating_the_foraging_performance_of_individual_honey_bees_in_different_environments_with_automated_fi	review_receipt	title:data_from_evaluating_the_foraging_performance_of_individual_honey_bees_in_different_environments_with_automated_field_rf	title:data_from_evaluating_the_foraging_performance_of_individual_honey_bees_in_different_environments_with_automated_field_rf	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	This Dryad record is a honey-bee RFID dataset whose description says the method may enable future large-scale replication. It is not itself a replication source-family object or original/replication pair table.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_data_from_evaluating_the_foraging_performance_of_individual_honey_bees_in_different_environments_with_automated_field_rf.json
title_headspace_for_parents_a_pilot_randomised_controlled_trial_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:headspace_for_parents_a_pilot_randomised_controlled_trial	title:headspace_for_parents_a_pilot_randomised_controlled_trial	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	This is a single pilot RCT lead with no affirmative evidence that it is itself a replication/reproduction/follow-up of an identifiable original. Do not route it forward because a later larger study might exist.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_headspace_for_parents_a_pilot_randomised_controlled_trial.json
title_older_brodeur_methods_matter_openicpsr_file_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:older_brodeur_methods_matter_openicpsr_file	title:older_brodeur_methods_matter_openicpsr_file	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	The tracker says this was the same recovered package and that no further OpenICPSR chase is needed unless a separate sample-size-bearing file exists.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_older_brodeur_methods_matter_openicpsr_file.json
title_pass_study_replication_dataset_msr25_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:pass_study_replication_dataset_msr25	title:pass_study_replication_dataset_msr25	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	This Zenodo record is for a software-engineering technical paper dataset about LLM summarization for legacy program documentation. The word replication appears to refer to a package/dataset route, not an independent replication of scientific findings.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_pass_study_replication_dataset_msr25.json
title_replication_document_term_and_feature_matrices_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:replication_document_term_and_feature_matrices	title:replication_document_term_and_feature_matrices	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	Dataverse metadata shows term and feature matrices with hundreds of text/tab files. This appears to be text-analysis replication data, not a source exposing original/replication D/N pair rows.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_replication_document_term_and_feature_matrices.json
title_replication_package_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:replication_package	title:replication_package	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	The Dataverse title is a generic 'Replication Package' for an economics VAT pass-through article. The description is an original empirical paper reproduction package, not a replication/follow-up source-family object.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_replication_package.json
title_stanford_data_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:stanford_data	title:stanford_data	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	reject_irrelevant	Dataverse metadata links this to automated nonparametric content analysis for social science. It is a replication package in the computational reproducibility sense, not a Figure 1 original/replication pair source.	remain_context_or_rejected_no_alternate_subplot			0	0	rechecked_no_pair_or_value_route	medium	The prior rejection describes no original/follow-up pair mapping and no value-bearing route.	Leave rejected for current Figure 1 and alternate subplot routes.	steps/review_cue/figure1_search_leads/receipts/reject_irrelevant/title_stanford_data.json
