table_name	column_name	data_type	required_level	allowed_values	definition	coding_rules	example	qa_checks
source_access_right.tsv	mirror_allowed_yn	boolean_or_unknown	recommended		Whether local mirroring is allowed.	Use unknown until reviewed.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	text_extract_allowed_yn	boolean_or_unknown	recommended		Whether text extraction is allowed.	Use unknown until reviewed.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	redistribution_allowed_yn	boolean_or_unknown	recommended		Whether artifact can be redistributed.	Use false/internal-only for subscription/manual files.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	share_scope	string	optional		Allowed sharing scope.	Examples: public, internal_only, metadata_only, snippets_only.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	institutional_license_yn	boolean	recommended		Whether access used institutional entitlement.	Use false if not used or unknown in pilot.	false	Use lowercase true/false.
source_access_right.tsv	reviewed_by	string	recommended		Reviewer/tool for rights decision.	Examples: codex, user, librarian.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	reviewed_at	datetime	recommended		Review timestamp/date.	Use batch timestamp for generated unknown decisions.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	rights_decision	category	required	open_allowed | internal_only | restricted | subscription_required | not_applicable | unknown | needs_review	Rights/mirroring decision.	Use needs_review rather than assuming open from a successful download.	needs_review	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access_right.tsv	rights_decision_reason	string	recommended		Reason for rights decision.	State license evidence, internal-only rule, or unknown status.		Review for consistency with the field definition and coding rules.
source_identifier.tsv	source_id	string	required		Foreign key to source.tsv.	Every identifier row must attach to one source.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_identifier.tsv	identifier_type	category	required	doi | pmid | pmcid | nct | aea_trial | egap_registration | ridie | osf | dataverse_doi | zenodo_doi | openicpsr | openalex | semantic_scholar | arxiv | ssrn | url | other	Identifier system or URL type.	Use the narrowest applicable identifier type.	doi	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_identifier.tsv	identifier_value	string	required		Identifier value in source-native form.	Normalize consistently but preserve enough to resolve it.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_identifier.tsv	identifier_url	url	conditional		Resolver URL for identifier.	Use DOI/registry/repository resolver URL where available.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_identifier.tsv	identifier_source	string	recommended		Where this identifier was observed or resolved.	Examples: source.tsv, Crossref, PubMed, OpenAlex, real_world_grounding_sample.		Review for consistency with the field definition and coding rules.
source_identifier.tsv	is_primary	boolean	required		Whether this is the preferred identifier for resolving the source.	Use true for DOI/NCT/registry URL selected as primary grounding route; otherwise false.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
source_identifier.tsv	confidence	category	required	high | medium | low | blocked	Confidence that the identifier belongs to this source.	High for exact metadata/registry values; medium/low for inferred matches.	high	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_identifier.tsv	notes	string	optional		Identifier notes.	Explain ambiguous identifiers or nonstandard formats.		Review for consistency with the field definition and coding rules.
source_classification.tsv	source_id	string	required		Foreign key to source.tsv.	Classify the source, not a plot dot, unless the source is a dot-level internal row.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_classification.tsv	classification_type	category	required	field | subfield | source_family | study_design | publication_type | journal_or_venue | other	Kind of classification.	Use separate rows for field, subfield, source_family, study_design, publication_type, and venue when needed.	field	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_classification.tsv	classification_value	string	required		Classification value.	Use display-stable values such as Political science, Clinical medicine, SCORE/COS, survey experiment.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_classification.tsv	classification_source	string	required		Source/process that assigned the classification.	Examples: plot row field, source family catalog, manual coding, registry metadata.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_classification.tsv	classification_confidence	category	required	high | medium | low | blocked	Confidence in classification.	Use high for source-provided categories, medium for inferred catalog categories, low for uncertain labels.	medium	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_classification.tsv	notes	string	optional		Classification notes.	Explain ambiguous or multi-field sources.		Review for consistency with the field definition and coding rules.
search_lead.tsv	search_lead_id	string	required		Stable unique search lead ID.	Use deterministic IDs within a search track; do not recycle IDs.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
search_lead.tsv	plot_universe_id	string	recommended		Plot universe or future plot context that motivated this lead.	Use the YAML plot_universe ID when known; blank only for general catalog leads.		IDs should be stable; foreign keys should match the referenced table when applicable.
search_lead.tsv	search_track_id	string	recommended		Search track or plan row that produced this lead.	Use provenance_search_plan.search_track_id or a stable equivalent.		IDs should be stable; foreign keys should match the referenced table when applicable.
search_lead.tsv	lead_type	category	required	corpus_or_database | registry_record | paper_or_article | individual_replication_paper | replication_project | preregistration_or_pap | repository_package | candidate_result_table | raw_data_or_code_package | manual_source_suggestion	Kind of lead discovered.	Distinguish corpus/database leads from individual replication-paper leads before promotion.	corpus_or_database	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
search_lead.tsv	lead_title	string	required		Human-readable lead title.	Use source/project/paper title or a concise descriptive handle.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
search_lead.tsv	lead_source_family	string	recommended		Source-family label or project family.	Examples: FReD, SCORE, Many Labs, individual_replication_paper.		Review for consistency with the field definition and coding rules.
search_lead.tsv	lead_url	url	conditional		Landing URL, DOI URL, repository URL, registry URL, or project URL for the lead.	Prefer stable project/repository/article URLs over search result URLs.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
search_lead.tsv	lead_source_path	path	conditional		Repo-relative path where the lead was found or staged.	Use for local inventories, mirrored raw payloads, staged files, or manual PDFs.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
search_lead.tsv	query_or_seed	string	recommended		Query, seed artifact, or manual search term that produced the lead.	Keep exact enough to repeat the search.		Review for consistency with the field definition and coding rules.
search_lead.tsv	discovered_by	string	recommended		Tool/person/process that found the lead.	Examples: codex, user, rg_local_repo, OSF API, Crossref.		Review for consistency with the field definition and coding rules.
search_lead.tsv	discovered_at	datetime	recommended		Discovery timestamp/date.	Use ISO date/time or at least YYYY-MM-DD.		Review for consistency with the field definition and coding rules.
search_lead.tsv	candidate_artifact_path_or_url	string	conditional		File, page, dataset, package, or paper artifact to inspect next.	May be URL or repo-relative path; promote to source/source_access after triage.		Review for consistency with the field definition and coding rules.
search_lead.tsv	expected_result_count	integer	optional		Expected number of result rows the lead may emit.	Use rough count when available; blank if unknown.		If nonblank, must parse as a numeric value.
search_lead.tsv	expected_pair_count	integer	optional		Expected number of original/replication pairs for replication leads.	Use for Plot 1 source planning.		If nonblank, must parse as a numeric value.
search_lead.tsv	result_fields_available	string	recommended		Known or suspected result fields available in the lead.	Examples: D|N, native_effect|SE|N, original_d|replication_d|original_N|replication_N.		Review for consistency with the field definition and coding rules.
search_lead.tsv	original_source_hint	string	conditional		Original paper/study/source hint if the lead appears to involve a replication pair.	For Plot 1, fill after a replication lead exposes or implies an original target.		Review for consistency with the field definition and coding rules.
search_lead.tsv	replication_or_followup_source_hint	string	conditional		Replication, reproduction, robustness, extension, or follow-up source hint.	For individual replication-paper leads, this is usually the lead paper itself.		Review for consistency with the field definition and coding rules.
search_lead.tsv	pair_relationship_basis	string	conditional		Evidence that the lead contains or asserts an original/replication relationship.	Use verbatim wording or field names where possible.		Review for consistency with the field definition and coding rules.
search_lead.tsv	publication_link_hint	string	conditional		Publication link or eventual-publication hint.	Useful for Figure 2/3 and future contexts; not required for Figure 1.		Review for consistency with the field definition and coding rules.
search_lead.tsv	triage_status	category	required	not_started | seeded_from_existing_artifact | candidate_found | candidate_rejected | staged_for_parser | promoted_to_result_target | blocked_access | blocked_no_result_fields | blocked_scope_mismatch | deprecated_duplicate	Current search-lead status.	Keep blocked/excluded/duplicate leads rather than deleting them.	candidate_found	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
search_lead.tsv	lead_decision	category	required	not_triaged | promote_to_source | promote_to_source_result | stage_for_parser | catalog_only | reject_scope_mismatch | reject_duplicate | blocked_access | blocked_missing_fields | manual_review_required	Current decision for this lead.	Decide whether to promote, stage, catalog, reject, or send to manual review.	not_triaged	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
search_lead.tsv	decision_basis	string	recommended		Why the lead decision was made.	Cite fields, URLs, files, scope criteria, or blocker facts.		Review for consistency with the field definition and coding rules.
search_lead.tsv	blocker_codes	string	conditional		Pipe-delimited blockers if lead is not promotable now.	Examples: access_blocked|missing_D_N|scope_mismatch|duplicate.		Review for consistency with the field definition and coding rules.
search_lead.tsv	promoted_source_id	string	conditional		Source ID created from this lead.	Fill when the lead becomes a source.tsv row.		IDs should be stable; foreign keys should match the referenced table when applicable.
search_lead.tsv	promoted_source_result_ids	string	conditional		Pipe-delimited source_result IDs emitted from this lead.	Fill when parser or manual extraction creates result rows.		IDs should be stable; foreign keys should match the referenced table when applicable.
search_lead.tsv	next_action	string	recommended		Next action needed for this lead.	Examples: download_package, parse_workbook, resolve_original, manual_pdf_check, no_action.		Review for consistency with the field definition and coding rules.
search_lead.tsv	notes	string	optional		Lead-level notes.	Keep concise; do not store final extraction evidence here.		Review for consistency with the field definition and coding rules.
source_result.tsv	source_result_id	string	required		Stable unique assertion/result ID.	One extraction source asserting one result. Do not merge alternate sources here.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	canonical_result_id	string	recommended		Foreign key to canonical_result.tsv.	May be blank until resolution.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	extraction_source_id	string	required		Source where literal extracted text/number came from.	May be a database, paper, PDF, result CSV, or package output.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	represented_source_id	string	required		Source/study/paper that the result is about.	Same as extraction_source_id only when extracting directly from the represented work.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	access_id	string	required		Foreign key to exact access route.	Must point to retrievable bytes or documented barrier.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	source_locator	string	required		Precise locator inside source.	Use table/page/row/API JSON path/file member/script output; labels alone are insufficient.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_result.tsv	result_label	string	required		Human label for the result/dot.	Descriptive only; not evidence text.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_result.tsv	outcome_label	string	recommended		Human outcome label.	Descriptive only; not a substitute for verbatim outcome text.		Review for consistency with the field definition and coding rules.
source_result.tsv	verbatim_source_row_text	string	required_for_promotion		Source row/table/API text copied as directly as practical.	This is the human-checkable evidence string; one-line TSV safe.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	verbatim_outcome_text	string	recommended		Exact outcome text from source.	Use source wording, not cleaned labels.		Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	verbatim_effect_text	string	required_for_d_or_native		Exact effect/statistic text from source.	Do not put D here unless source itself reports D.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	verbatim_se_text	string	conditional		Exact SE text from source.	Required when native SE is used.		Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	verbatim_n_text	string	required_for_promotion		Exact N/sample-size text from source.	Must identify whether respondent, arm, cluster, enrollment, or analytic N.		Must be nonblank when the row is promoted or used for the relevant plot/panel. Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	verbatim_p_text	string	conditional		Exact p/t/z/F text from source.	Required if conversion uses a significance statistic.		Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	verbatim_ci_text	string	conditional		Exact CI text from source.	Required if conversion uses CI.		Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	native_effect_value	number	conditional		Parsed native effect value.	Parse without changing metric.		If nonblank, must parse as a numeric value.
source_result.tsv	native_effect_metric	category	conditional	mean_difference | standardized_mean_difference | odds_ratio | log_odds_ratio | risk_difference | correlation | regression_coefficient | t_statistic | z_statistic | f_statistic | p_value_only | hazard_ratio | rate_ratio | count_difference | native_ate | elasticity | unknown	Metric of native_effect_value.	Required when native effect is present.		If nonblank, must be one of allowed_values exactly.
source_result.tsv	native_standard_error	number	conditional		Parsed native standard error.	Do not back-calculate if source used adjusted/clustered models unless documented.		If nonblank, must parse as a numeric value.
source_result.tsv	native_ci_low	number	conditional		Parsed native CI lower bound.	Only if source reports CI.		If nonblank, must parse as a numeric value.
source_result.tsv	native_ci_high	number	conditional		Parsed native CI upper bound.	Only if source reports CI.		If nonblank, must parse as a numeric value.
source_result.tsv	native_p_value	number_or_string	conditional		Parsed p-value, allowing inequalities.	Preserve '<0.001' in verbatim field; clean numeric companion may be blank.		Review for consistency with the field definition and coding rules.
source_result.tsv	native_n_total	number	required_for_promotion		Parsed total N for the result.	Use analytic N when clear; store respondent/cluster split separately.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must parse as a numeric value.
source_result.tsv	native_n_treatment	number	conditional		Treatment-arm N.	Required for event-count/log-OR conversions when available.		If nonblank, must parse as a numeric value.
source_result.tsv	native_n_control	number	conditional		Control-arm N.	Required for event-count/log-OR conversions when available.		If nonblank, must parse as a numeric value.
source_result.tsv	native_cluster_n	number	conditional		Cluster count.	Required for clustered designs when reported.		If nonblank, must parse as a numeric value.
source_result.tsv	unit_of_randomization	string	recommended		Randomization unit.	Examples: individual, village, school, paper, trial, precinct.		Review for consistency with the field definition and coding rules.
source_result.tsv	unit_of_analysis	string	recommended		Analysis/sample unit.	Examples: respondent, cluster, trial arm, claim, paper.		Review for consistency with the field definition and coding rules.
source_result.tsv	standardized_effect_value	number	conditional		Final standardized effect for D-axis or proxy.	Blank for native-only rows.		If nonblank, must parse as a numeric value.
source_result.tsv	standardized_effect_metric	category	conditional	d | hedges_g | smd | chinn_log_or_to_d | r_to_d | fisher_z_to_d | t_to_d | z_to_d | d_proxy | native_only | not_promoted	Metric for standardized_effect_value.	Use native_only when not D-promotable.		If nonblank, must be one of allowed_values exactly.
source_result.tsv	standardized_n	number	required_for_plot		N used for plotting/statistics.	Must explain cluster-vs-respondent choice in transformation_explanation.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must parse as a numeric value.
source_result.tsv	d	number	conditional		Cohen's d or D-axis value.	Only populate when conversion is defensible.		If nonblank, must parse as a numeric value.
source_result.tsv	d_conversion_method	category	required_for_promotion	reported_d | reported_g | reported_smd | chinn_log_or_to_d | event_counts_to_log_or_to_d | r_to_d | fisher_z_to_r_to_d | standardized_outcome_coefficient | source_provided_d_proxy | paper_median_of_child_d | no_d_native_metric | blocked_missing_inputs	Method used to get D or reason no D exists.	Do not force linear-probability ATEs to d without baseline/SD/event counts.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result.tsv	d_conversion_inputs	string	conditional		Inputs used for D conversion.	List formulas and source fields, e.g. logOR=-0.4; d=logOR*sqrt(3)/pi.		Review for consistency with the field definition and coding rules.
source_result.tsv	transformation_explanation	string	required_for_promotion		Plain-language explanation from verbatim/native fields to final D/N/native panel row.	Must be enough for a human to recalculate.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_result.tsv	transformation_confidence	category	required_for_promotion	high | medium | low | blocked	Confidence in transformation.	High only when source fields and formula are explicit.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result.tsv	prereg_status	category	conditional	prereg_confirmed_pre_data | prereg_confirmed_pre_analysis | registered_report | proposal_pre_fielding_not_full_prereg | registry_metadata_only | registry_record_timing_not_audited | prereg_asserted_by_corpus_no_artifact | not_preregistered | unknown	Pre-registration status for confirmatory panels.	Required for preregistered plots.		If nonblank, must be one of allowed_values exactly.
source_result.tsv	prereg_mapping_id	string	conditional		Mapping row that links the represented study/result to its preregistration, registry record, PAP, MPAP, or registered-report protocol.	Required for preregistered panels when a prereg/PAP relationship exists. Use source_source_mapping.mapping_id.	map_aearctr_0000685_pap_to_good_politicians	IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	prereg_source_id	string	conditional		Source ID of the preregistration/PAP/registered-report protocol used for this result.	Use the source that actually contains or asserts the preregistered selector.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	prereg_url	url	conditional		Direct URL to preregistration/PAP/registered-report protocol.	Prefer registry/PAP URL over a general article page.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_result.tsv	prereg_registered_at	date_or_datetime	conditional		Registration, PAP filing, or Stage-1 acceptance date/time.	Use ISO date/time when available; leave blank and add a problem if prereg timing is claimed but not dated.		Review for consistency with the field definition and coding rules.
source_result.tsv	prereg_timing	category	conditional	pre_data_collection | pre_analysis | post_data_pre_results | post_results | not_applicable | unknown	Timing of the prereg/PAP relative to data/results.	Must be specific, not just yes/no.	pre_analysis	If nonblank, must be one of allowed_values exactly.
source_result.tsv	prereg_selector_locator	string	conditional		Locator of the preregistered hypothesis/outcome/analysis rule.	Examples: PAP p. 4 H1; registry primary_outcomes[2]; OSF file PAP.pdf section 2.1.		Review for consistency with the field definition and coding rules.
source_result.tsv	prereg_selector_verbatim_text	string	conditional		Verbatim preregistered selector text for the outcome/hypothesis/analysis rule.	Required when a row is selected because it was preregistered. Do not summarize only.		Must be copied from source text/fields, not a display label or paraphrase.
source_result.tsv	prereg_hypothesis_id	string	optional		Preregistered hypothesis ID or label.	Examples: H1a, Primary Outcome 1, MPAP family vote_choice.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	prereg_outcome_id	string	optional		Preregistered outcome ID or label.	Use source-native ID if present.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	selector_status	category	conditional	pap_primary | pap_secondary | registry_primary | article_primary | first_confirmatory_hypothesis | median_across_preregistered_primaries | corpus_focal_claim | database_primary_outcome | not_focal | no_focal_selector	How focal result was selected.	Required for paper-level/corpus-level rows.		If nonblank, must be one of allowed_values exactly.
source_result.tsv	selector_rule	string	conditional		Rule used to pick/collapse this result from eligible results.	Examples: PAP primary outcome; median across preregistered primary outcomes; first confirmatory result; database primary outcome.		Review for consistency with the field definition and coding rules.
source_result.tsv	selector_mapping_id	string	optional		Mapping row that supports the focal-result selector when separate from prereg_mapping_id.	Use when a corpus/database identifies a focal claim or when a paper maps PAP outcomes to final tables.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	replication_mapping_id	string	conditional		Mapping row that links this result/source to an original, replication, computational reproduction, or robustness target.	Use source_source_mapping.mapping_id; required when replication status is asserted.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	replication_role	category	conditional	none | original_study | replication_study | computational_reproduction | robustness_check | corpus_replication_assertion | unknown	Role of this result in a replication/reproduction relationship.	Do not use a boolean; specify whether this is original, replication, reproduction, robustness check, or corpus assertion.	replication_study	If nonblank, must be one of allowed_values exactly.
source_result.tsv	replication_pair_id	string	conditional		Stable ID joining original and replication results/papers.	Required when original and replication dots are paired or compared.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	replication_kind	category	conditional	preregistration | pre_analysis_plan | meta_analysis_pre_analysis_plan | registered_report_stage1_protocol | registered_report_stage2_results | trial_registry_record | data_or_code_package | paper_supplement | direct_replication | conceptual_replication | computational_reproduction | robustness_reanalysis | extension_study | pilot_full_scale_pair | pooled_round_component | corpus_child_paper | database_child_result | citation_or_link_only | unknown	Kind of replication/reproduction relationship.	Use the same controlled vocabulary as source_source_mapping.relationship_subtype.	direct_replication	If nonblank, must be one of allowed_values exactly.
source_result.tsv	replication_target_claim	string	conditional		Claim, hypothesis, or result that the replication/reproduction targets.	Copy or closely preserve source wording where available.		Review for consistency with the field definition and coding rules.
source_result.tsv	source_mapping_ids	string	optional		Pipe-delimited source_source_mapping IDs relevant to this result.	Use for corpus membership, database-result mapping, paper-package support, preregistration, replication, and publication links.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_result.tsv	extraction_confidence	category	required	high | medium | low | blocked	Confidence in extraction from source.	Low if PDF/table parse is uncertain.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result.tsv	human_check_status	category	required	source_cells_recovered | n_only_recovered | plot_summary_only | needs_pdf_check | needs_code_execution | verified_by_human	Human-check readiness.	Must not call source cells recovered unless verbatim source evidence is present.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result.tsv	coding_status	category	required	fully_coded | coded_with_schema_gaps | staged_native_metric | blocked_missing_d_or_n | blocked_access | excluded | duplicate_existing	Current row disposition.	Rows can be staged or blocked without being plotted.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result.tsv	evidence_level	integer	required		Numeric provenance/evidence level from 0 to 7.	0 blocks the row; public plots should require at least 3; publication-grade paper claims should usually require at least 5.	3	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must parse as a numeric value.
source_result.tsv	evidence_level_name	category	required	unanchored_number | internal_trace_only | external_source_assertion | external_assertion_with_target_source | target_source_independently_grounded | original_source_obtained | original_number_extracted | recomputed_from_raw	Named provenance/evidence level.	Use the seven-level ladder; do not treat corpus assertions as original-source extraction.	external_assertion_with_target_source	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result.tsv	target_acquisition_state	category	recommended	unanchored | external_assertion_only | target_identity_known | target_located | source_object_mirrorable | source_object_mirrored | text_or_data_extracted	State of target identity/location/mirroring/acquisition.	Located is not mirrored; mirrored is not verified.	target_located	If nonblank, must be one of allowed_values exactly.
source_result.tsv	value_verification_state	category	recommended	not_checked | corpus_assertion_only | source_object_obtained_not_parsed | text_or_data_extracted | value_bearing_source_text_found | d_n_verified_from_source	State of D/N or native value verification against source objects.	Use corpus_assertion_only until original source text/data are checked.	corpus_assertion_only	If nonblank, must be one of allowed_values exactly.
source_result.tsv	source_is_original	boolean	required		Whether the extraction source is the original paper/registry/API/table for the represented result.	False for corpus/database assertions about another paper.	false	Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
source_result.tsv	number_verified_by_us	boolean	required		Whether we directly verified/copied or recomputed the plotted number from original/authoritative source text/output.	False when taking an external corpus's word for the represented paper's number.	false	Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
source_result.tsv	represented_work_identified	boolean	required		Whether the represented paper/trial/study has a durable identifier or high-confidence resolved source.	True for DOI, PMID, PMCID, NCT, AEA/RIDIE/EGAP ID, Dataverse DOI, or high-confidence Crossref resolution.	true	Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
source_result.tsv	source_is_external	boolean	required		Whether the extraction source is an external real-world source rather than only our internal derived file.	True for mirrored corpus/database/registry/paper/package sources; false for internal-only derived tables.	true	Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
source_result.tsv	requires_manual_review	boolean	required		Whether the row still needs human review before final promotion.	True for low-confidence Crossref, source gaps, unresolved represented work, or unverified original-source numbers.	true	Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
source_result.tsv	conversion_verified	boolean	required		Whether the native-to-D/native transformation has been verified against source inputs.	False if D is a proxy or inherited from corpus without original-source recalculation.	false	Must be nonblank when the row is promoted or used for the relevant plot/panel. Use lowercase true/false.
source_result.tsv	citation_status	category	required	real_citation | generated_internal | missing	Citation status for this source-result row.	Use real_citation for real source bibliography; generated_internal is only an audit placeholder.	real_citation	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_result.tsv	source_citation_key	string	conditional		Citation key for extraction source.	May cite a corpus/database/package.		Generated dot keys are internal only; real source citations must map to a bibliography entry.
source_result.tsv	represented_source_citation_key	string	conditional		Citation key for represented work.	Required when known. Do not use generated dot keys.		Generated dot keys are internal only; real source citations must map to a bibliography entry.
source_result.tsv	represented_source_citation_rendered	string	conditional		Rendered citation for represented source.	Store as TSV text for spreadsheet checking.		Review for consistency with the field definition and coding rules.
source_result.tsv	generated_result_citation_key	string	optional		Internal generated citation key for the dot/result row.	Internal audit only; not bibliographic evidence.		Generated dot keys are internal only; real source citations must map to a bibliography entry.
source_result.tsv	generated_result_citation_rendered	string	optional		Rendered internal generated result citation.	Must be labeled synthetic if present.		Review for consistency with the field definition and coding rules.
source_result.tsv	notes	string	optional		Concise row notes.	Do not hide missing fields here; add extraction_problem rows.		Review for consistency with the field definition and coding rules.
canonical_result.tsv	canonical_result_id	string	required		Stable unique canonical result ID.	Maps one or more source_result rows to one plotted/staged result.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
canonical_result.tsv	represented_source_id	string	required		Foreign key to represented source.	Usually the paper/study/trial.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
canonical_result.tsv	preferred_source_result_id	string	required		Chosen source-result row.	Must be one of the child source_result IDs.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
canonical_result.tsv	result_label	string	required		Canonical result label.	Keep brief and human-readable.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
canonical_result.tsv	D	number	conditional		D-axis value used in plot.	Blank for native-only canonical rows.		If nonblank, must parse as a numeric value.
canonical_result.tsv	N	number	required_for_plot		N used in plot/statistics.	Should match standardized_n in preferred source_result or aggregation rule.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must parse as a numeric value.
canonical_result.tsv	effect_metric_for_plot	string	required		Metric shown by plotted/staged row.	Examples: d, native_ate, log_or, risk_difference.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
canonical_result.tsv	panel	string	required		Destination panel/plot.	Examples: d_axis, native_panel, plot1, plot2, plot3, plot4.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
canonical_result.tsv	row_unit	string	required		Unit represented by canonical row.	Examples: paper, project, trial, result, pooled_round, component_study.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
canonical_result.tsv	source_result_count	integer	required		Number of source-result rows represented.	Use to expose collapsed thousand-row corpora.		Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must parse as a numeric value.
canonical_result.tsv	aggregation_rule	string	required		How source-result rows were selected/collapsed.	Examples: single row, median across planned primaries, paper median, preferred direct source.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
canonical_result.tsv	D_min	number	conditional		Minimum D among children.	Required for multi-result paper/project summaries when D exists.		If nonblank, must parse as a numeric value.
canonical_result.tsv	D_median	number	conditional		Median D among children.	Required for multi-result paper/project summaries when D exists.		If nonblank, must parse as a numeric value.
canonical_result.tsv	D_max	number	conditional		Maximum D among children.	Required for multi-result paper/project summaries when D exists.		If nonblank, must parse as a numeric value.
canonical_result.tsv	N_min	number	conditional		Minimum N among children.	Required for multi-result summaries.		If nonblank, must parse as a numeric value.
canonical_result.tsv	N_median	number	conditional		Median N among children.	Required for multi-result summaries.		If nonblank, must parse as a numeric value.
