source_id	classification_type	classification_value	classification_source	classification_confidence	notes
work_plot2_metabus_open_bosco_jap_95_1_183_4501	study_design	corpus extracted result	source_directness	medium	
work_title_percentage_of_patients_achieving_glycosylated_hemoglobin_hba1c_con	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_percentage_of_patients_achieving_glycosylated_hemoglobin_hba1c_con	field	Clinical medicine	inferred_from_source_family	medium	
work_title_percentage_of_patients_achieving_glycosylated_hemoglobin_hba1c_con	study_design	clinical trial registry result	source_directness	medium	
work_title_jap_91_4_971	source_family	metabus_open_bosco	human_check_source_result_sample_300.tsv	medium	
work_title_jap_91_4_971	field	io_psychology_management	plot_row_json	high	
work_title_jap_91_4_971	study_design	corpus extracted result	source_directness	medium	
work_title_alves_et_al_2018_score_24716_49_3	source_family	SCORE analyst join	human_check_source_result_sample_300.tsv	medium	
work_title_alves_et_al_2018_score_24716_49_3	field	Psychology/health	inferred_from_source_family	medium	
src_tyner2026	source_family	SCORE analyst join	human_check_source_result_sample_300.tsv	medium	
work_title_alves_et_al_2018_score_24716_49_3	study_design	replication pair	source_directness	medium	
work_title_jap_86_6_1120	source_family	metabus_open_bosco	human_check_source_result_sample_300.tsv	medium	
work_title_jap_86_6_1120	field	io_psychology_management	plot_row_json	high	
work_title_jap_86_6_1120	study_design	corpus extracted result	source_directness	medium	
work_title_identification_of_common_genetic_polymorphisms_associated_with_dow	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_identification_of_common_genetic_polymorphisms_associated_with_dow	field	genetics_biomedicine	plot_row_json	high	
work_title_identification_of_common_genetic_polymorphisms_associated_with_dow	study_design	corpus extracted result	source_directness	medium	
work_title_percentage_of_heavy_drinking_days_at_week_16_endpoint	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_percentage_of_heavy_drinking_days_at_week_16_endpoint	field	Clinical medicine	inferred_from_source_family	medium	
work_title_percentage_of_heavy_drinking_days_at_week_16_endpoint	study_design	clinical trial registry result	source_directness	medium	
work_doi_10_2466_pms_109_2_577_580	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_doi_10_2466_pms_109_2_577_580	study_design	replication pair	source_directness	medium	
work_title_olsson_sundell_2023_57	source_family	olsson_sundell_2023_social_interventions	human_check_source_result_sample_300.tsv	medium	
work_title_olsson_sundell_2023_57	field	social_intervention_research	plot_row_json	high	
src_olsson2023publicationbias	source_family	olsson_sundell_2023_social_interventions	human_check_source_result_sample_300.tsv	medium	
src_olsson2023publicationbias	field	social_intervention_research	plot_row_json	high	
work_title_olsson_sundell_2023_57	study_design	corpus extracted result	source_directness	medium	
work_title_many_labs_2_alter_1	source_family	Many Labs 2 public join	human_check_source_result_sample_300.tsv	medium	
work_title_many_labs_2_alter_1	field	Psychology/health	inferred_from_source_family	medium	
src_klein2018	source_family	Many Labs 2 public join	human_check_source_result_sample_300.tsv	medium	
src_klein2018	field	Psychology/health	inferred_from_source_family	medium	
work_title_many_labs_2_alter_1	study_design	replication pair	source_directness	medium	
work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	source_family	DARPA SCORE / COS claims	human_check_source_result_sample_300.tsv	medium	
work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	field	sociology and criminology	plot_row_json	high	
work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_pp_53_1_153_4827	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_pp_53_1_153_4827	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_pp_53_1_153_4827	study_design	corpus extracted result	source_directness	medium	
work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	source_family	Kerschbaumer 2020 rheumatology phase II/III	human_check_source_result_sample_300.tsv	medium	
src_internalkerschbaumerphaseiiiiirheumatology	source_family	Kerschbaumer 2020 rheumatology phase II/III	human_check_source_result_sample_300.tsv	medium	
work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	study_design	replication pair	source_directness	medium	
work_title_genomics_of_perivascular_space_burden_unravels_early_mechanisms_of	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genomics_of_perivascular_space_burden_unravels_early_mechanisms_of	field	genetics_biomedicine	plot_row_json	high	
work_title_genomics_of_perivascular_space_burden_unravels_early_mechanisms_of	study_design	corpus extracted result	source_directness	medium	
work_title_researchers_showed_images_to_the_adolescents_with_anorexia_nervosa	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_title_researchers_showed_images_to_the_adolescents_with_anorexia_nervosa	study_design	replication pair	source_directness	medium	
work_title_log_transformed_log_28_day_seizure_rate_for_all_primary_generalize	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_log_transformed_log_28_day_seizure_rate_for_all_primary_generalize	field	clinical_trials_registry	plot_row_json	high	
work_title_log_transformed_log_28_day_seizure_rate_for_all_primary_generalize	study_design	corpus extracted result	source_directness	medium	
work_title_explaining_explanations_how_legislators_explain_their_policy_posit	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_explaining_explanations_how_legislators_explain_their_policy_posit	field	Political science	plot_row_json	high	
work_title_explaining_explanations_how_legislators_explain_their_policy_posit	study_design	corpus extracted result	source_directness	medium	
work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	source_family	LOOPR coding workbook	human_check_source_result_sample_300.tsv	medium	
src_soto2019loopr	source_family	LOOPR coding workbook	human_check_source_result_sample_300.tsv	medium	
work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	study_design	replication pair	source_directness	medium	
work_title_garry_et_al_2008_co_witness_memory_distortion_original_new_zealand	source_family	Eyewitness ten-country paper table rescue	human_check_source_result_sample_300.tsv	medium	
src_ito2018eyewitnesstencountries	source_family	Eyewitness ten-country paper table rescue	human_check_source_result_sample_300.tsv	medium	
work_title_garry_et_al_2008_co_witness_memory_distortion_original_new_zealand	study_design	replication pair	source_directness	medium	
work_nct_nct04244084	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_nct_nct04244084	field	Clinical medicine	plot_row_json	high	
work_nct_nct04244084	study_design	clinical trial registry result	source_directness	medium	
work_title_https_osf_io_8j9cg	source_family	RPP canonical OSF csv	human_check_source_result_sample_300.tsv	medium	
src_collaboration2015	source_family	RPP canonical OSF csv	human_check_source_result_sample_300.tsv	medium	
work_title_https_osf_io_8j9cg	study_design	replication pair	source_directness	medium	
work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	source_family	RPP canonical OSF csv	human_check_source_result_sample_300.tsv	medium	
work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	study_design	replication pair	source_directness	medium	
work_title_f_1_117_127_07	source_family	Boyce student replication corpus	human_check_source_result_sample_300.tsv	medium	
work_title_f_1_117_127_07	field	Psychology/health	inferred_from_source_family	medium	
src_boyce2023studentreplication	source_family	Boyce student replication corpus	human_check_source_result_sample_300.tsv	medium	
src_boyce2023studentreplication	field	Psychology/health	inferred_from_source_family	medium	
work_title_f_1_117_127_07	study_design	replication pair	source_directness	medium	
work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	field	Clinical medicine	inferred_from_source_family	medium	
work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	study_design	clinical trial registry result	source_directness	medium	
work_plot2_metabus_open_bosco_pp_63_2_439_4994	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_pp_63_2_439_4994	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_pp_63_2_439_4994	study_design	corpus extracted result	source_directness	medium	
work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	source_family	CliniFact published primary pairs	human_check_source_result_sample_300.tsv	medium	
work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	field	medicine_rct	plot_row_json	high	
src_zhang2025clinifact	source_family	CliniFact published primary pairs	human_check_source_result_sample_300.tsv	medium	
work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	study_design	corpus extracted result	source_directness	medium	
work_doi_10_1007_s10683_011_9295_3	source_family	SCORE analyst join	human_check_source_result_sample_300.tsv	medium	
work_doi_10_1007_s10683_011_9295_3	field	Psychology/health	inferred_from_source_family	medium	
work_doi_10_1007_s10683_011_9295_3	study_design	replication pair	source_directness	medium	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	source_family	Schäfer/Schwarz psychology articles (without preregistration)	human_check_source_result_sample_300.tsv	medium	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	field	Psychology/health	plot_row_json	high	
src_schaefer2019meaningfulness	source_family	Schäfer/Schwarz psychology articles (without preregistration)	human_check_source_result_sample_300.tsv	medium	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_jap_66_3_371_3048	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_66_3_371_3048	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_jap_66_3_371_3048	study_design	corpus extracted result	source_directness	medium	
work_title_genetic_variants_in_cpa6_and_prpf31_are_associated_with_variation	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genetic_variants_in_cpa6_and_prpf31_are_associated_with_variation	field	genetics_biomedicine	plot_row_json	high	
work_title_genetic_variants_in_cpa6_and_prpf31_are_associated_with_variation	study_design	corpus extracted result	source_directness	medium	
work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	field	clinical_trials_registry	plot_row_json	high	
work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	study_design	corpus extracted result	source_directness	medium	
work_title_untx_corrected_by_creatinine_50_nmol_mmol_at_week_13	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_untx_corrected_by_creatinine_50_nmol_mmol_at_week_13	field	clinical_trials_registry	plot_row_json	high	
work_title_untx_corrected_by_creatinine_50_nmol_mmol_at_week_13	study_design	corpus extracted result	source_directness	medium	
work_title_percent_change_from_baseline_in_calculated_low_density_lipoprotein	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_percent_change_from_baseline_in_calculated_low_density_lipoprotein	field	Clinical medicine	inferred_from_source_family	medium	
work_title_percent_change_from_baseline_in_calculated_low_density_lipoprotein	study_design	clinical trial registry result	source_directness	medium	
work_title_change_from_baseline_in_modified_scale_for_the_assessment_of_negat	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_change_from_baseline_in_modified_scale_for_the_assessment_of_negat	field	clinical_trials_registry	plot_row_json	high	
work_title_change_from_baseline_in_modified_scale_for_the_assessment_of_negat	study_design	corpus extracted result	source_directness	medium	
work_title_brons_et_al_2017_score_24yw6_31_1	source_family	SCORE analyst join	human_check_source_result_sample_300.tsv	medium	
work_title_brons_et_al_2017_score_24yw6_31_1	field	Psychology/health	inferred_from_source_family	medium	
work_title_brons_et_al_2017_score_24yw6_31_1	study_design	replication pair	source_directness	medium	
work_title_nichols_knobe_2007	source_family	replication-pair original-side bridge	human_check_source_result_sample_300.tsv	medium	
work_title_nichols_knobe_2007	field	experimental philosophy	plot_row_json	high	
src_internalplot2replicationpairoriginalsbridge	source_family	replication-pair original-side bridge	human_check_source_result_sample_300.tsv	medium	
work_title_nichols_knobe_2007	study_design	corpus extracted result	source_directness	medium	
work_title_change_from_baseline_in_international_restless_legs_syndrome_study	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_change_from_baseline_in_international_restless_legs_syndrome_study	field	clinical_trials_registry	plot_row_json	high	
work_title_change_from_baseline_in_international_restless_legs_syndrome_study	study_design	corpus extracted result	source_directness	medium	
work_title_sulindac_effects_on_apoptosis_in_atypical_nevi	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_sulindac_effects_on_apoptosis_in_atypical_nevi	field	clinical_trials_registry	plot_row_json	high	
work_title_sulindac_effects_on_apoptosis_in_atypical_nevi	study_design	corpus extracted result	source_directness	medium	
work_title_change_from_baseline_in_the_number_of_bowel_movements_per_week	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_change_from_baseline_in_the_number_of_bowel_movements_per_week	field	clinical_trials_registry	plot_row_json	high	
work_title_change_from_baseline_in_the_number_of_bowel_movements_per_week	study_design	corpus extracted result	source_directness	medium	
work_title_the_composite_of_cerebral_ischemic_stroke_and_transient_ischemic_a	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_the_composite_of_cerebral_ischemic_stroke_and_transient_ischemic_a	field	clinical_trials_registry	plot_row_json	high	
work_title_the_composite_of_cerebral_ischemic_stroke_and_transient_ischemic_a	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_pp_45_4_807_4702	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_pp_45_4_807_4702	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_pp_45_4_807_4702	study_design	corpus extracted result	source_directness	medium	
work_title_change_from_baseline_in_the_brief_pain_inventory_short_form_bpi_sf	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_change_from_baseline_in_the_brief_pain_inventory_short_form_bpi_sf	field	clinical_trials_registry	plot_row_json	high	
work_title_change_from_baseline_in_the_brief_pain_inventory_short_form_bpi_sf	study_design	corpus extracted result	source_directness	medium	
work_title_10_1007_s00213_003_1558_z	source_family	replication_pair_originals_bridge	human_check_source_result_sample_300.tsv	medium	
work_title_10_1007_s00213_003_1558_z	field	psychology and adjacent replication targets	plot_row_json	high	
src_internalplot2replicationpairoriginalsbridge	field	psychology and adjacent replication targets	plot_row_json	high	
work_title_10_1007_s00213_003_1558_z	study_design	corpus extracted result	source_directness	medium	
work_title_4_month_progression_free_survival_pfs_rate_in_the_double_blind_pha	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_4_month_progression_free_survival_pfs_rate_in_the_double_blind_pha	field	clinical_trials_registry	plot_row_json	high	
work_title_4_month_progression_free_survival_pfs_rate_in_the_double_blind_pha	study_design	corpus extracted result	source_directness	medium	
work_doi_10_17605_osf_io_evdp5	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_doi_10_17605_osf_io_evdp5	study_design	replication pair	source_directness	medium	
work_nct_nct00097695	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_nct_nct00097695	field	Clinical medicine	plot_row_json	high	
work_nct_nct00097695	study_design	clinical trial registry result	source_directness	medium	
work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	source_family	DARPA SCORE / COS claims	human_check_source_result_sample_300.tsv	medium	
work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	field	sociology and criminology	plot_row_json	high	
work_title_ethnic_diversity_economic_and_cultural_contexts_and_social_trust_c	study_design	corpus extracted result	source_directness	medium	
work_title_smoking_abstinence_for_7_days_at_last_contact	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_smoking_abstinence_for_7_days_at_last_contact	field	clinical_trials_registry	plot_row_json	high	
work_title_smoking_abstinence_for_7_days_at_last_contact	study_design	corpus extracted result	source_directness	medium	
work_title_olsson_sundell_2023_374	source_family	olsson_sundell_2023_social_interventions	human_check_source_result_sample_300.tsv	medium	
work_title_olsson_sundell_2023_374	field	social_intervention_research	plot_row_json	high	
work_title_olsson_sundell_2023_374	study_design	corpus extracted result	source_directness	medium	
work_title_percentage_of_participants_with_a_menstrual_blood_loss_mbl_volume	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_percentage_of_participants_with_a_menstrual_blood_loss_mbl_volume	field	clinical_trials_registry	plot_row_json	high	
work_title_percentage_of_participants_with_a_menstrual_blood_loss_mbl_volume	study_design	corpus extracted result	source_directness	medium	
work_title_genome_wide_association_analysis_in_primary_sclerosing_cholangitis	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genome_wide_association_analysis_in_primary_sclerosing_cholangitis	field	genetics_biomedicine	plot_row_json	high	
work_title_genome_wide_association_analysis_in_primary_sclerosing_cholangitis	study_design	corpus extracted result	source_directness	medium	
work_nct_nct02025751	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_nct_nct02025751	field	Clinical medicine	plot_row_json	high	
work_nct_nct02025751	study_design	clinical trial registry result	source_directness	medium	
work_title_integrative_analysis_of_genome_wide_association_studies_identifies	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_integrative_analysis_of_genome_wide_association_studies_identifies	field	genetics_biomedicine	plot_row_json	high	
work_title_integrative_analysis_of_genome_wide_association_studies_identifies	study_design	corpus extracted result	source_directness	medium	
work_title_jap_79_6_959	source_family	metabus_open_bosco	human_check_source_result_sample_300.tsv	medium	
work_title_jap_79_6_959	field	io_psychology_management	plot_row_json	high	
work_title_jap_79_6_959	study_design	corpus extracted result	source_directness	medium	
work_title_annual_rate_of_change_in_lung_density	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_annual_rate_of_change_in_lung_density	field	clinical_trials_registry	plot_row_json	high	
work_title_annual_rate_of_change_in_lung_density	study_design	corpus extracted result	source_directness	medium	
work_plot2_kuhberger_2014_main_results_kuhberger_175_2405	source_family	Kühberger psychology main results	human_check_source_result_sample_300.tsv	medium	
work_plot2_kuhberger_2014_main_results_kuhberger_175_2405	field	Psychology/health	plot_row_json	high	
src_kuhberger2014publicationbias	source_family	Kühberger psychology main results	human_check_source_result_sample_300.tsv	medium	
work_plot2_kuhberger_2014_main_results_kuhberger_175_2405	study_design	corpus extracted result	source_directness	medium	
work_title_percentage_of_participants_with_disease_free_survival_dfs	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_percentage_of_participants_with_disease_free_survival_dfs	field	Clinical medicine	inferred_from_source_family	medium	
work_title_percentage_of_participants_with_disease_free_survival_dfs	study_design	clinical trial registry result	source_directness	medium	
work_title_investigating_technology_enhanced_teacher_professional_development	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_investigating_technology_enhanced_teacher_professional_development	field	Education	plot_row_json	high	
src_tyner2026	field	Education	plot_row_json	high	
work_title_investigating_technology_enhanced_teacher_professional_development	study_design	corpus extracted result	source_directness	medium	
work_title_pressed_for_time_goal_conflict_shapes_how_time_is_perceived_spent	source_family	FORRT FReD	human_check_source_result_sample_300.tsv	medium	
work_title_pressed_for_time_goal_conflict_shapes_how_time_is_perceived_spent	field	marketing/org behavior	plot_row_json	high	
src_tosh2024	source_family	FORRT FReD	human_check_source_result_sample_300.tsv	medium	
src_tosh2024	field	marketing/org behavior	plot_row_json	high	
work_title_pressed_for_time_goal_conflict_shapes_how_time_is_perceived_spent	study_design	corpus extracted result	source_directness	medium	
work_title_many_labs_2_anderson_1	source_family	Many Labs 2 public join	human_check_source_result_sample_300.tsv	medium	
work_title_many_labs_2_anderson_1	field	Psychology/health	inferred_from_source_family	medium	
work_title_many_labs_2_anderson_1	study_design	replication pair	source_directness	medium	
work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	field	Business	plot_row_json	high	
work_title_when_your_world_must_be_defended_choosing_products_to_justify_the	study_design	corpus extracted result	source_directness	medium	
work_title_how_does_the_design_of_waste_disposal_signage_influence_waste_disp	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_how_does_the_design_of_waste_disposal_signage_influence_waste_disp	field	Psychology/health	plot_row_json	high	
work_title_how_does_the_design_of_waste_disposal_signage_influence_waste_disp	study_design	corpus extracted result	source_directness	medium	
work_title_van_prooijen_j_w_van_dijk_e_2014_when_consequence_size_predicts_be	source_family	Motyl social/personality critical tests	human_check_source_result_sample_300.tsv	medium	
work_title_van_prooijen_j_w_van_dijk_e_2014_when_consequence_size_predicts_be	field	psychology_social_personality	plot_row_json	high	
work_title_van_prooijen_j_w_van_dijk_e_2014_when_consequence_size_predicts_be	study_design	corpus extracted result	source_directness	medium	
work_title_percent_of_patients_in_histological_remission_30_eos_hpf	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_percent_of_patients_in_histological_remission_30_eos_hpf	field	Clinical medicine	inferred_from_source_family	medium	
work_title_percent_of_patients_in_histological_remission_30_eos_hpf	study_design	clinical trial registry result	source_directness	medium	
work_doi_10_1111_j_1467_9280_2008_02045_x	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_doi_10_1111_j_1467_9280_2008_02045_x	study_design	replication pair	source_directness	medium	
work_title_olsson_sundell_2023_397	source_family	olsson_sundell_2023_social_interventions	human_check_source_result_sample_300.tsv	medium	
work_title_olsson_sundell_2023_397	field	social_intervention_research	plot_row_json	high	
work_title_olsson_sundell_2023_397	study_design	corpus extracted result	source_directness	medium	
work_title_political_ideology_predicted_nostalgia_meaning_that_the_more_conse	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_title_political_ideology_predicted_nostalgia_meaning_that_the_more_conse	study_design	replication pair	source_directness	medium	
work_title_kuhberger_905	source_family	kuhberger_2014_main_results	human_check_source_result_sample_300.tsv	medium	
work_title_kuhberger_905	field	Psychology/health	plot_row_json	high	
work_title_kuhberger_905	study_design	corpus extracted result	source_directness	medium	
work_title_corbo_osbat_2013	source_family	havranek_armington	human_check_source_result_sample_300.tsv	medium	
work_title_corbo_osbat_2013	field	Economics/finance	plot_row_json	high	
src_havranekarmingtondata	source_family	havranek_armington	human_check_source_result_sample_300.tsv	medium	
src_havranekarmingtondata	field	Economics/finance	plot_row_json	high	
work_title_corbo_osbat_2013	study_design	corpus extracted result	source_directness	medium	
work_title_object_working_memory_is_employed_during_mental_rotation	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_title_object_working_memory_is_employed_during_mental_rotation	study_design	replication pair	source_directness	medium	
work_title_phase_ii_change_in_depressive_symptoms	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_phase_ii_change_in_depressive_symptoms	field	clinical_trials_registry	plot_row_json	high	
work_title_phase_ii_change_in_depressive_symptoms	study_design	corpus extracted result	source_directness	medium	
work_title_violent_offending_and_victimization_in_adolescence_social_network	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_violent_offending_and_victimization_in_adolescence_social_network	field	sociology and criminology	plot_row_json	high	
work_title_violent_offending_and_victimization_in_adolescence_social_network	study_design	corpus extracted result	source_directness	medium	
work_doi_10_1002_acp_1376	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_doi_10_1002_acp_1376	study_design	replication pair	source_directness	medium	
work_title_more_effort_is_expected_to_perform_an_additional_unit_of_work_when	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_title_more_effort_is_expected_to_perform_an_additional_unit_of_work_when	study_design	replication pair	source_directness	medium	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_cli_046_6731	source_family	Schäfer/Schwarz psychology articles (without preregistration)	human_check_source_result_sample_300.tsv	medium	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_cli_046_6731	field	Psychology/health	plot_row_json	high	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_cli_046_6731	study_design	corpus extracted result	source_directness	medium	
work_title_shared_genetic_pathways_contribute_to_risk_of_hypertrophic_and_dil	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_shared_genetic_pathways_contribute_to_risk_of_hypertrophic_and_dil	field	genetics_biomedicine	plot_row_json	high	
work_title_shared_genetic_pathways_contribute_to_risk_of_hypertrophic_and_dil	study_design	corpus extracted result	source_directness	medium	
work_title_woon_373	source_family	button_nord_neuroscience	human_check_source_result_sample_300.tsv	medium	
work_title_woon_373	field	neuroscience	plot_row_json	high	
work_title_woon_373	study_design	corpus extracted result	source_directness	medium	
work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	source_family	Schäfer/Schwarz preregistered psychology articles	human_check_source_result_sample_300.tsv	medium	
work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	field	Psychology/health	plot_row_json	high	
src_schaefer2019meaningfulness	source_family	Schäfer/Schwarz preregistered psychology articles	human_check_source_result_sample_300.tsv	medium	
work_plot2_schaefer_schwarz_2019_with_prereg_schaefer_2019_preg_25_6452	study_design	corpus extracted result	source_directness	medium	
work_doi_10_1086_653487	source_family	SCORE analyst join	human_check_source_result_sample_300.tsv	medium	
work_doi_10_1086_653487	field	Psychology/health	inferred_from_source_family	medium	
work_doi_10_1086_653487	study_design	replication pair	source_directness	medium	
work_title_du145_cell_proliferation_between_sipten_siptenp1_and_siptenp1	source_family	RPCB	human_check_source_result_sample_300.tsv	medium	
work_title_du145_cell_proliferation_between_sipten_siptenp1_and_siptenp1	study_design	replication pair	source_directness	medium	
work_title_percent_change_from_baseline_in_low_density_lipoprotein_cholestero	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_percent_change_from_baseline_in_low_density_lipoprotein_cholestero	field	clinical_trials_registry	plot_row_json	high	
work_title_percent_change_from_baseline_in_low_density_lipoprotein_cholestero	study_design	corpus extracted result	source_directness	medium	
work_title_a_common_variant_in_the_setd7_gene_predicts_serum_lycopene_concent	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_a_common_variant_in_the_setd7_gene_predicts_serum_lycopene_concent	field	genetics_biomedicine	plot_row_json	high	
work_title_a_common_variant_in_the_setd7_gene_predicts_serum_lycopene_concent	study_design	corpus extracted result	source_directness	medium	
work_title_moral_foundations_graham_et_al_2009	source_family	replication_pair_originals_bridge	human_check_source_result_sample_300.tsv	medium	
work_title_moral_foundations_graham_et_al_2009	field	psychology and adjacent replication targets	plot_row_json	high	
work_title_moral_foundations_graham_et_al_2009	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_jap_87_4_687_3946	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_87_4_687_3946	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_jap_87_4_687_3946	study_design	corpus extracted result	source_directness	medium	
work_title_locating_supreme_court_opinions_in_doctrine_space	source_family	esarey_wu_2016_political_science_main_findings	human_check_source_result_sample_300.tsv	medium	
work_title_locating_supreme_court_opinions_in_doctrine_space	field	political_science	plot_row_json	high	
src_esareywu2016	source_family	esarey_wu_2016_political_science_main_findings	human_check_source_result_sample_300.tsv	medium	
